="NumÃ©ro FINESS";="SIRET";="APE";="Raison sociale";="ComplÃ©ment distribution";="Adresse";="Lieudit/BP";="Code postal";="Libelle routage";="Tel";="Fax";="Date ouvert";="Code categorie";="Lib categorie";="Code statut";="Lib statut";="Code tarif";="Lib tarif";="Code PSPH";="Lib PSPH";="FINESS juridique";="SOC:";="Discipline1";="Mode de fonctionnement1";="ClientÃ?le1";="CapacitÃ© hommes1";="CapacitÃ© femmes1";="CapacitÃ© totale1";="Discipline2";="Mode de fonctionnement2";="ClientÃ?le2";="CapacitÃ© hommes2";="CapacitÃ© femmes2";="CapacitÃ© totale2";="Discipline3";="Mode de fonctionnement3";="ClientÃ?le3";="CapacitÃ© hommes3";="CapacitÃ© femmes3";="CapacitÃ© totale3";="Discipline4";="Mode de fonctionnement4";="ClientÃ?le4";="CapacitÃ© hommes4";="CapacitÃ© femmes4";="CapacitÃ© totale4";="Discipline5";="Mode de fonctionnement5";="ClientÃ?le5";="CapacitÃ© hommes5";="CapacitÃ© femmes5";="CapacitÃ© totale5";
="010001261";="775 544 083 00477";="8810C";="ESAT LES BROSSES";;="";="LES BROSSES";="01560";="VERNOUX";="04 74 47 04 70 ";="04 74 47 03 61";="01 octobre 2000";="246";="Etablissement et Service d'Aide par le Travail (E.S.A.T.)";="61";="Association Loi 1901 Reconnue d'Utilité Publique";="57";="DGS ARS & hébergement PCD - sous CPOM";;;="010785897";="";="Aide par le travail pour Adultes Handicapés";="Semi-Internat";="Déficience Intellectuelle (sans autre indication)";="0";="0";="50";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";
="010005288";="775 693 385 01754";="8810C";="ESAT HORS LES MURS LADAPT - VIRIAT";;="69 RUE GAY LUSSAC";;="01440";="VIRIAT";="04 74 47 38 86 ";;="09 août 2007";="246";="Etablissement et Service d'Aide par le Travail (E.S.A.T.)";="61";="Association Loi 1901 Reconnue d'Utilité Publique";="34";="ARS / DG dotation globale";;;="750078149";="";="Aide par le travail pour Adultes Handicapés";="Externat";="Troubles du spectre de l'autisme";="0";="0";="3";="Aide par le travail pour Adultes Handicapés";="Externat";="Cérébro lésés";="0";="0";="12";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";
="010006898";="775 544 083 00576";="8810C";="ESAT LES DOMBES";;="118 IMPASSE DES JARDINS";="CHAFFAUD";="01330";="VILLARS LES DOMBES";="04 74 47 04 70 ";="04 78 55 74 11";="01 janvier 2011";="246";="Etablissement et Service d'Aide par le Travail (E.S.A.T.)";="61";="Association Loi 1901 Reconnue d'Utilité Publique";="57";="DGS ARS & hébergement PCD - sous CPOM";;;="010785897";="";="Aide par le travail pour Adultes Handicapés";="Externat";="Déficience intellectuelle";="0";="0";="50";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";
="010007466";="784 579 682 02084";="8810C";="ESAT DE LA COTIERE ET DU PAYS DE GEX";;="524 RUE DES ARTISANS";="ZA LA BASSETTE";="01800";="MEXIMIEUX";="04 74 46 78 66 ";="04 74 46 78 54";="01 septembre 1999";="246";="Etablissement et Service d'Aide par le Travail (E.S.A.T.)";="61";="Association Loi 1901 Reconnue d'Utilité Publique";="57";="DGS ARS & hébergement PCD - sous CPOM";;;="750050916";="";="Aide par le travail pour Adultes Handicapés";="Semi-Internat";="Déficience Intellectuelle (sans autre indication)";="0";="0";="96";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";
="010008951";="775 544 562 01361";="8810C";="ESAT ENVOL TRANSITION";;="385 ALLEE DU PRUNNUS";="PARC INDUSTRIEL PLAINE DE LAIN";="01150";="BLYES";="04 74 46 54 00 ";="04 74 46 54 09";="01 décembre 2010";="246";="Etablissement et Service d'Aide par le Travail (E.S.A.T.)";="61";="Association Loi 1901 Reconnue d'Utilité Publique";="57";="DGS ARS & hébergement PCD - sous CPOM";;;="010783009";="";="Aide par le travail pour Adultes Handicapés";="Accueil de Jour";="Handicap psychique";="0";="0";="9";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";
="010784163";="775 544 083 00527";="8810C";="ESAT LE PENNESSUY";;="242 RUE GEORGES LECLANCHE";;="01440";="VIRIAT";="04 74 22 20 19 ";="04 74 24 71 08";="13 décembre 1966";="246";="Etablissement et Service d'Aide par le Travail (E.S.A.T.)";="61";="Association Loi 1901 Reconnue d'Utilité Publique";="57";="DGS ARS & hébergement PCD - sous CPOM";;;="010785897";="";="Aide par le travail pour Adultes Handicapés";="Semi-Internat";="Déficience Intellectuelle (sans autre indication)";="0";="0";="187";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";
="010784171";="775 544 083 00345";="8810C";="ESAT LES ATELIERS DE NIERME";;="2 RUE FRANCOISE DOLTO";="BP 5012";="01105";="OYONNAX CEDEX";="04 74 73 23 20 ";="04 74 73 23 26";="20 décembre 1978";="246";="Etablissement et Service d'Aide par le Travail (E.S.A.T.)";="61";="Association Loi 1901 Reconnue d'Utilité Publique";="34";="ARS / DG dotation globale";;;="010785897";="";="Aide par le travail pour Adultes Handicapés";="Semi-Internat";="Déficience Intellectuelle (sans autre indication)";="0";="0";="87";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";
="010784213";="775 544 083 00295";="8810C";="ESAT LA LECHERE";;="ROUTE DE SAINT GERMAIN";;="01300";="BELLEY";="04 79 81 21 39 ";="04 74 81 04 80";="01 janvier 1974";="246";="Etablissement et Service d'Aide par le Travail (E.S.A.T.)";="61";="Association Loi 1901 Reconnue d'Utilité Publique";="57";="DGS ARS & hébergement PCD - sous CPOM";;;="010785897";="";="Aide par le travail pour Adultes Handicapés";="Semi-Internat";="Déficience Intellectuelle (sans autre indication)";="0";="0";="132";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";
="010784288";="775 544 083 00121";="8810C";="ESAT CENTRE DE VIE RURAL TREFFORT";;="CHEMIN DES GRANDES COMMUNES";;="01370";="VAL REVERMONT";="04 74 42 10 50 ";="04 74 42 10 51";="01 juillet 1976";="246";="Etablissement et Service d'Aide par le Travail (E.S.A.T.)";="61";="Association Loi 1901 Reconnue d'Utilité Publique";="57";="DGS ARS & hébergement PCD - sous CPOM";;;="010785897";="";="Aide par le travail pour Adultes Handicapés";="Semi-Internat";="Déficience Intellectuelle (sans autre indication)";="0";="0";="60";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";
="010784502";="775 643 257 00345";="8810C";="ESAT DU COLOMBIER";;="240 ROUTE DE PARVES";="ZI DU CORON";="01300";="BELLEY";="04 79 87 60 06 ";="04 79 87 53 32";="01 novembre 1978";="246";="Etablissement et Service d'Aide par le Travail (E.S.A.T.)";="60";="Association Loi 1901 non Reconnue d'Utilité Publique";="34";="ARS / DG dotation globale";;;="690791108";="";="Aide par le travail pour Adultes Handicapés";="Accueil de jour et accompagnement en milieu ordinaire";="Déficience Motrice";="0";="0";="58";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";
