field_name,field_label,field_help_text,field_placeholder,field_information
finess_num,Quel est le numéro FINESS de l'établissement principal ?,,Exemple : 123456789,
esat_role,Quelle est votre fonction au sein de l'ESAT ?,,Exemple : Directrice d'ESAT,
esat_name,Quel est le nom de l’ESAT ?,,Exemple : ESAT Les pruniers,
esat_siret,Quel est le numéro SIRET de l'ESAT ?,,Exemple : 12002701600357,
managing_organization_finess,Quel est le numéro FINESS de l’entité juridique de rattachement ?,,Exemple : 123456789,
esat_status,Quel est le statut de l'ESAT ?,,,
esat_dept,Quel est le département d'implantation de l'ESAT ?,,,
nb_places_allowed,"Au 31 décembre n-1, quel était l'agrément fixé par l'ARS pour l'ESAT en nombre de places autorisées ?",,,
nb_employee_worked,"Au 31 décembre n-1, combien de salariés ou d'agents publics (ESAT publics) étaient employés dans l'ESAT ?",En nombre de personnes,,"Inclus : CDI, CDD."
nb_employee_shared,"Parmi eux, combien étaient mutualisés sur plusieurs ESAT ?",En nombre de personnes,"Exemples : fonctions support (comptabilité, ressources humaines, communication, etc.)",
nb_worker_acc,"En n-1, combien de travailleurs et travailleuses avez-vous accompagnés ?",En nombre de travailleurs (effectif physique) en file active,,"Indiquez ici le nombre total de travailleurs (personnes physiques) sous contrat d’accompagnement par le travail (y compris les périodes d’essai et les mises à disposition) entre le 1er janvier et le 31 décembre n-1. Si un travailleur est parti en cours d’année, il doit être comptabilisé. Les stagiaires (MISP, PMSMP, …) ne sont pas comptabilisés."
nb_worker_half_time,"En n-1, combien de travailleurs et travailleuses étaient à temps partiel ?",En nombre de travailleurs (effectif physique) en file active,,
mean_worker_age,"Au 31 décembre n-1, quel était l'âge moyen des travailleurs et travailleuses accompagnés ?",En nombre d'années,,Même périmètre que la question précédente donc hors stagiaires.<br>Calcul à faire sur les effectifs présents au 31/12/N-1
mean_seniority,"Au 31 décembre n-1, quelle était l'ancienneté moyenne des travailleurs et travailleuses accompagnés ?",En nombre d'années,,Même périmètre que la question précédente donc hors stagiaires.<br>Calcul à faire sur les effectifs présents au 31/12/N-1
nb_worker_previous_mot,Combien de travailleurs ont occupé un emploi en milieu ordinaire (y compris entreprise adaptée) antérieurement à leur admission dans l'ESAT ?,En nombre de travailleurs (effectif physique) parmi ceux admis en n-1,,"Hors stages. En cas d'impossibilité à remplir cette donnée, merci de ne rien saisir dans la cellule et d'indiquer la raison dans la rubrique ""Commentaires"" en fin de questionnaire."
nb_worker_new,Combien de travailleurs et travailleuses de l'ESAT ont été admis pour la première fois en milieu protégé de travail ?,En nombre de travailleurs (effectif physique) parmi ceux admis en n-1,,"En cas d'impossibilité à remplir cette donnée, merci de ne rien saisir dans la cellule et d'indiquer la raison dans la rubrique ""Commentaires"" en fin de questionnaire."
nb_worker_temporary,"Combien de travailleurs et travailleuses ont été admis temporairement dans l'ESAT pour remplacer des travailleurs absents pour maladie, pour suivre une action formation ou pour occuper un emploi à temps partiel ?",En nombre de travailleurs (effectif physique) parmi ceux admis en n-1,,"Temporairement = moins de 1 an. Les travailleurs absents pour maladie, congé, emploi à temps partiel, vacance de poste, etc."
nb_worker_mispe_mdph,Combien de personnes ont été accompagnées par l'ESAT dans le cadre d'une mise en situation professionnelle (MISPE) prescrite par une MDPH ?,Nombre de personnes (effectif physique) accueillies en n-1,,
nb_worker_mispe_rpe,Combien de personnes ont été accompagnées par l'ESAT dans le cadre d'une mise en situation professionnelle (MISPE) prescrite par le réseau pour l'emploi (RPE) ?,Nombre de personnes (effectif physique) accueillies en n-1,,
nb_worker_willing_mot,Combien de travailleurs de l'ESAT ont exprimé dans leur projet personnalisé leur volonté d'aller travailler en milieu ordinaire ?,Nombre de travailleurs (effectif physique) en file active,,"Volonté, d'aller à terme vers un contrat de droit commun, exprimée et formalisée à l’écrit dans leur projet personnalisé. Un travailleur qui exprime la volonté de faire un stage n'est pas suffisante. Cf . guide d’aide au remplissage."
nb_worker_ft_job_seekers,Combien de travailleurs et travailleuses se sont inscrits comme demandeurs d'emploi à France Travail ?,Nombre de travailleurs (effectif physique) en file active parmi ceux ayant acté dans leur projet leur volonté d'aller vers le milieu ordinaire de travail,,"En cas d'impossibilité à remplir cette donnée, merci de ne rien saisir dans la cellule et d'indiquer la raison dans la rubrique ""Commentaires"" en fin de questionnaire."
prescription_delegate,Êtes-vous délégataire de prescription de PMSMP ?,,,Sur année n-1
pmsmp_refused,"Avez-vous eu des refus de PMSMP par les organismes du réseau pour l'emploi (France Travail, Cap Emploi, Mission Locale) ?",,,Sur année n-1
nb_worker_pmsmp,Combien de travailleurs et travailleuses ont effectué une PMSMP ?,En nombre de travailleurs (effectif physique) en file active,,
nb_worker_service,"Combien de travailleurs et travailleuses ont réalisé une prestation de service auprès d'une entreprise, d'une collectivité publique ou de tout autre organisme ?",En nombre de travailleurs (effectif physique) en file active,,"Inclus : espaces verts, bricolage, ménage, etc. Pour cette question, il est important de se reporter au guide d’aide au remplissage"
nb_worker_mad_indiv,Combien de travailleurs et travailleuses ont réalisé une mise à disposition individuelle ou collective chez employeur public ou privé ?,En nombre de travailleurs (effectif physique) en file active,,"Pour cette question, il est important de se reporter au guide d’aide au remplissage"
